id,label,timeset,py,so,modularity_class,clustering,triangles,degree
0,Using Accountability to Reduce Access Policy Violations in Information Systems,,2013,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,12,0.8205128205128205,288,27
1,BEYOND DETERRENCE: AN EXPANDED VIEW OF EMPLOYEE COMPUTER ABUSE,,2013,MIS QUARTERLY,12,0.6699857752489331,471,38
2,BRIDGING THE QUALITATIVE-QUANTITATIVE DIVIDE: GUIDELINES FOR CONDUCTING MIXED METHODS RESEARCH IN INFORMATION SYSTEMS,,2013,MIS QUARTERLY,24,0.34210526315789475,65,20
3,IMPACT OF INFORMATION FEEDBACK IN CONTINUOUS COMBINATORIAL AUCTIONS: AN EXPERIMENTAL STUDY OF ECONOMIC PERFORMANCE,,2013,MIS QUARTERLY,2,0.9366666666666666,281,25
4,IT-MEDIATED CUSTOMER SERVICE CONTENT AND DELIVERY IN ELECTRONIC GOVERNMENTS: AN EMPIRICAL INVESTIGATION OF THE ANTECEDENTS OF SERVICE QUALITY,,2013,MIS QUARTERLY,20,0.43103448275862066,175,29
5,DIGITAL GAMES AND BEYOND: WHAT HAPPENS WHEN PLAYERS COMPETE?,,2013,MIS QUARTERLY,23,0.16666666666666666,1,4
6,DATA MODEL DEVELOPMENT FOR FIRE RELATED EXTREME EVENTS: AN ACTIVITY THEORY APPROACH,,2013,MIS QUARTERLY,3,0.6470588235294118,99,18
7,EXAMINING THE RELATIONAL BENEFITS OF IMPROVED INTERFIRM INFORMATION PROCESSING CAPABILITY IN BUYER-SUPPLIER DYADS,,2013,MIS QUARTERLY,8,0.5285714285714286,111,21
8,INTERNATIONALIZATION STRATEGIES OF CHINESE IT SERVICE SUPPLIERS,,2013,MIS QUARTERLY,8,0.7333333333333333,88,16
9,A RHETORICAL APPROACH TO IT DIFFUSION: RECONCEPTUALIZING THE IDEOLOGY-FRAMING RELATIONSHIP IN COMPUTERIZATION MOVEMENTS,,2013,MIS QUARTERLY,0,0.0,0,1
10,THE EMBEDDEDNESS OF INFORMATION SYSTEMS HABITS IN ORGANIZATIONAL AND INDIVIDUAL LEVEL ROUTINES: DEVELOPMENT AND DISRUPTION,,2013,MIS QUARTERLY,17,0.4444444444444444,20,10
11,THE AFFECTIVE RESPONSE MODEL: A THEORETICAL FRAMEWORK OF AFFECTIVE CONCEPTS AND THEIR RELATIONSHIPS IN THE ICT CONTEXT,,2013,MIS QUARTERLY,0,0.24444444444444444,11,10
12,INTERNET PRIVACY CONCERNS: AN INTEGRATED CONCEPTUALIZATION AND FOUR EMPIRICAL STUDIES,,2013,MIS QUARTERLY,21,0.43,129,25
13,SOCIAL INFLUENCE AND KNOWLEDGE MANAGEMENT SYSTEMS USE: EVIDENCE FROM PANEL DATA,,2013,MIS QUARTERLY,17,0.22807017543859648,39,19
14,INFORMATION TECHNOLOGY OUTSOURCING AND NON-IT OPERATING COSTS: AN EMPIRICAL INVESTIGATION,,2013,MIS QUARTERLY,22,0.8596491228070176,147,19
15,When Social Media Can Be Bad for You: Community Feedback Stifles Consumer Creativity and Reduces Satisfaction with Self-Designed Products,,2013,INFORMATION SYSTEMS RESEARCH,1,0.39826839826839827,92,22
16,Social Network Effects on Productivity and Job Security: Evidence from the Adoption of a Social Networking Tool,,2013,INFORMATION SYSTEMS RESEARCH,0,0.427536231884058,118,24
17,Active Social Media Management: The Case of Health Care,,2013,INFORMATION SYSTEMS RESEARCH,15,0.696969696969697,161,22
18,Social Ties and User Content Generation: Evidence from Flickr,,2013,INFORMATION SYSTEMS RESEARCH,0,0.2571428571428571,54,21
19,Social Media Brand Community and Consumer Behavior: Quantifying the Relative Impact of User- and Marketer-Generated Content,,2013,INFORMATION SYSTEMS RESEARCH,15,0.2987012987012987,69,22
20,The Effect of Customers' Social Media Participation on Customer Visit Frequency and Profitability: An Empirical Investigation,,2013,INFORMATION SYSTEMS RESEARCH,15,0.5292307692307693,172,26
